content_id,client_id,baseline_rank,baseline_refresh_score,visibility_score,freshness_risk_score,position_opportunity_score,depth_gap_score,reason_codes,suggested_action_baseline,is_declining_label,impressions_90d,clicks_90d,sessions_90d,avg_position,ctr,engagement_rate,scroll_rate,content_age_days,days_since_last_update,word_count,trend_direction
content_fea6a0d13b4a,client_19581e27de,23,0.9285070586734694,0.9915,0.8432,0.9429367346938775,0.8642575000000001,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,1,79965,56,58,3.4,0.07,0.0,6.06,313,104,0.0,down
content_adcaa6dca61e,client_19581e27de,24,0.9284576109977324,0.9884666666666667,0.8432,0.9481210884353741,0.8616134444444445,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,67435,285,241,3.0,0.42,3.73,6.55,330,104,0.0,stable
content_09783793b38d,client_19581e27de,25,0.927702905952381,0.9881,0.8432,0.9457528571428572,0.8612938333333333,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,1,66048,89,100,3.1,0.13,1.0,2.52,257,104,0.0,down
content_3f403bb36296,client_19581e27de,26,0.927537455952381,0.9983,0.8432,0.9269928571428572,0.8701848333333333,low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,156681,565,678,4.5,0.36,0.44,1.25,148,104,0.0,stable
content_8053a66bd6ac,client_19581e27de,27,0.9274818889455781,0.9841,0.8432,0.9519661224489796,0.8578071666666667,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,1,52687,40,52,2.6,0.08,1.92,6.56,236,104,0.0,down
content_d296f221f23b,client_19581e27de,28,0.9273029326530612,0.9972,0.8432,0.9280065306122448,0.869226,declining_with_demand|page_one_decay_risk|low_engagement_visible_page,refresh,1,131977,956,879,4.4,0.72,2.5,4.1,313,104,0.0,down
content_396019fec61a,client_4e07408562,29,0.926913811111111,0.9921333333333333,0.8432,0.9354399999999999,0.8648095555555556,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,83362,74,64,3.8,0.09,7.81,18.31,445,104,0.0,stable
content_d191a803e7b2,client_19581e27de,30,0.9266622291383221,0.9895333333333334,0.8432,0.9390469387755103,0.8625432222222222,page_one_decay_risk|low_engagement_visible_page,monitor,0,71630,579,539,3.5,0.81,1.11,4.44,257,104,0.0,stable
content_0c94db3b0ab8,client_19581e27de,31,0.926326775680272,0.9883,0.8432,0.939893469387755,0.8614681666666667,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,66824,163,147,3.4,0.24,0.68,3.59,313,104,0.0,stable
content_4a18c07e5357,client_4e07408562,32,0.9262535761904761,0.9964,0.8432,0.9252285714285714,0.8685286666666666,declining_with_demand|page_one_decay_risk|low_engagement_visible_page,refresh,1,125049,1077,1018,4.5,0.86,9.53,28.87,390,104,0.0,down
content_bc104ff59d1a,client_19581e27de,33,0.9258215865079363,0.9972666666666666,0.8432,0.9219628571428571,0.8692841111111111,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,132918,437,383,4.7,0.33,0.78,4.11,313,104,0.0,stable
content_ec546a850e38,client_19581e27de,34,0.9256835807256236,0.9910666666666667,0.8432,0.932411700680272,0.8638797777777778,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,77344,276,361,3.9,0.36,2.49,7.17,236,104,0.0,stable
content_a5dbb404bdc2,client_f369cb89fc,35,0.9256623186785714,0.9913,0.9911,0.8355242857142857,0.458624945,low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,79035,59,44,8.7,0.07,6.82,13.04,106,106,2691.0,stable
content_88447c37aea0,client_19581e27de,36,0.9249021238095237,0.9944,0.8432,0.9233714285714285,0.8667853333333333,page_one_decay_risk|low_engagement_visible_page,monitor,0,99942,850,774,4.5,0.85,2.58,4.76,257,104,0.0,stable
content_cd36fc9f75ce,client_19581e27de,37,0.9247310226190476,0.9919,0.8432,0.9271228571428571,0.8646061666666667,page_one_decay_risk|low_engagement_visible_page,monitor,0,82272,470,435,4.2,0.57,1.15,1.8,313,104,0.0,stable
content_87dfc063bf4e,client_19581e27de,38,0.9242489218253968,0.9934333333333333,0.8432,0.9224738095238095,0.8659427222222222,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,1,90991,72,159,4.5,0.08,4.4,22.41,153,104,0.0,down
content_dcf44a9508f2,client_19581e27de,39,0.9241292246031746,0.9828666666666667,0.8432,0.9407438095238095,0.8567321111111111,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,50238,94,82,3.1,0.19,2.44,5.15,330,104,0.0,stable
content_154aa47edd03,client_19581e27de,40,0.9240992249433106,0.9954666666666667,0.8432,0.9182672108843537,0.8677151111111112,low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,113501,214,314,4.8,0.19,6.69,7.14,153,104,0.0,stable
content_050a156ee534,client_19581e27de,41,0.924052387585034,0.9857,0.8432,0.9354091836734695,0.8592018333333333,declining_with_demand|page_one_decay_risk|low_engagement_visible_page,refresh,1,57461,338,408,3.5,0.59,5.64,11.13,329,104,0.0,down
content_0952e187d26a,client_19581e27de,42,0.92404837930839,0.9864333333333334,0.8432,0.9340919727891157,0.8598410555555557,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,60603,137,144,3.6,0.23,6.94,10.53,330,104,0.0,stable
